sorted,query,city,location_id,coordinates,name,address,website,email,flagged
true,tabletop game store,New Orleans,,,Bad Wolf,"1484 LA-406, Belle Chasse, LA 70037, United States",,,
true,tabletop game store,New Orleans,,,Louisiana Gaming,"150 Pintail St, St Rose, LA 70087, United States",,,
true,tabletop game store,New Orleans,,,One Eyed Jack Gaming Inc,"1532 Kuebel St # B, New Orleans, LA 70123, United States",,,
true,tabletop game store,Jacksonville,,,Cool Stuff Games - Jacksonville,"8595 Beach Blvd #326, Jacksonville, FL 32216, United States",http://www.coolstuffgames.com/jacksonville/,,
true,tabletop game store,Jacksonville,,,Coliseum of Comics Roosevelt,"5517 Roosevelt Blvd, Jacksonville, FL 32244, United States",https://www.coliseumofcomics.com/stores/roosevelt,,
true,tabletop game store,Jacksonville,,,Vortex Cards & Games,"1932 Park Ave, Orange Park, FL 32073, United States",http://vortextcg.com/,,
true,tabletop game store,Jacksonville,,,Games Galore,"13500 Beach Blvd, Jacksonville, FL 32224, United States",https://www.facebook.com/GamesGaloreJax/,,
true,tabletop game store,Jacksonville,,,Darby's Dungeon,"14185 Beach Blvd #1A, Jacksonville, FL 32250, United States",https://www.darbysdungeon.com/,,
true,tabletop game store,Jacksonville,,,D3 Gaming and Collectables of Orange Park,"1232 Blanding Blvd STE 4, Orange Park, FL 32065, United States",https://www.facebook.com/D3gamingOP/,,
true,tabletop game store,Jacksonville,,,Java Game Haus Cafe,"11018 Old St Augustine Rd #131, Jacksonville, FL 32257, United States",http://javagamehauscafe.com/,,
true,tabletop game store,Jacksonville,,,Warhammer,"9978-3A Old Baymeadows Rd, Jacksonville, FL 32256, United States",https://www.warhammer.com/?utm_source=Google&utm_medium=Yext,,
true,tabletop game store,Jacksonville,,,Gotham City Limit,"4195 Southside Blvd #104, Jacksonville, FL 32216, United States",http://www.gothamcitylimit.com/,,
true,tabletop game store,Jacksonville,,,Coliseum of Comics Arlington,"9344 Atlantic Blvd, Jacksonville, FL 32225, United States",https://www.coliseumofcomics.com/stores/arlington,,
true,tabletop game store,Jacksonville,,,Video Game Rescue,"2415 Blanding Blvd STE 7, Jacksonville, FL 32210, United States",http://www.videogamerescue.com/,,
true,tabletop game store,Jacksonville,,,Mythical Mountain Comics and Toys,"11111 San Jose Blvd #37, Jacksonville, FL 32223, United States",http://mythicalmountain.com/,,
true,tabletop game store,Jacksonville,,,Target,"9041 Southside Blvd, Jacksonville, FL 32256, United States",https://www.target.com/sl/southside/669,,
true,tabletop game store,Jacksonville,,,CVS Pharmacy,"430 State Rd 13 N, Jacksonville, FL 32259, United States",https://www.cvs.com/store-locator/jacksonville-fl-pharmacies/430-sr-13-jacksonville-fl-32259/storeid=5190?WT.mc_id=LS_GOOGLE_RX_5190,,
true,tabletop game store,Jacksonville,,,Kohl's,"9701 Crosshill Blvd, Jacksonville, FL 32222, United States",https://www.kohls.com/stores/fl/jacksonville-1201.shtml?utm_source=google&utm_medium=organic&utm_campaign=local,,
true,tabletop game store,Jacksonville,,,2nd & Charles,"4972 Town Center Pkwy Suite 100, Jacksonville, FL 32246, United States",https://www.2ndandcharles.com/,,
true,tabletop game store,Jacksonville,,,Coliseum of Comics Oakleaf,"9630 Crosshill Blvd #102, Jacksonville, FL 32222, United States",https://coliseumofcomics.com/stores/oakleaf/,,
true,tabletop game store,Jacksonville,,,Cosmic Comics,"8301 Cypress Plaza Dr Suite 124 Bldg. 300, Jacksonville, FL 32256, United States",https://www.facebook.com/mycosmiccomics/,,
true,tabletop game store,Jacksonville,,,Barnes & Noble,"Claire Lane Center, 11112 San Jose Blvd #8, Jacksonville, FL 32223, United States",https://stores.barnesandnoble.com/store/2683,,
true,tabletop game store,Jacksonville,,,GameStop,"13740 Beach Blvd #101, Jacksonville, FL 32224, United States",https://www.gamestop.com/store/us/fl/jacksonville/3613/pablo-creek-east-plaza-gamestop?utm_source=gmblisting&utm_medium=organic,,
true,tabletop game store,Jacksonville,,,Barnes & Noble,"10280 Mid Town Pkwy, Jacksonville, FL 32246, United States",https://stores.barnesandnoble.com/store/2214,,
true,tabletop game store,Jacksonville,,,GameStop,"1545 Branan Field Rd, Middleburg, FL 32068, United States",https://www.gamestop.com/store/us/fl/middleburg/6066/plantation-crossing-gamestop?utm_source=gmblisting&utm_medium=organic,,
