lat,lng
25.27,-88.55
25.27,-88.28
25.27,-88.01
25.27,-87.74
25.27,-87.47
25.27,-87.2
25.27,-86.93
25.27,-86.66
25.27,-86.39
25.27,-86.12
25.27,-85.85
25.27,-85.58
25.27,-85.31
25.27,-85.04
25.27,-84.77
25.27,-84.5
25.27,-84.23
25.27,-83.96
25.27,-83.69
25.27,-83.42
25.27,-83.15
25.27,-82.88
25.27,-82.61
25.27,-82.34
25.27,-82.07
25.27,-81.8
25.27,-81.53
25.27,-81.26
25.27,-80.99
25.27,-80.72
25.27,-80.45
25.27,-80.18
25.27,-79.91
25.27,-79.64
25.27,-79.37
25.27,-79.1
25.27,-78.83
25.27,-78.56
25.27,-78.29
25.27,-78.02
25.27,-77.75
25.27,-77.48
25.27,-77.21
25.27,-76.94
25.27,-76.67
25.27,-76.4
25.27,-76.13
25.27,-75.86
25.27,-75.59
25.27,-75.32
25.27,-75.05
25.27,-74.78
25.27,-74.51
25.27,-74.24
25.27,-73.97
25.27,-73.7
25.27,-73.43
25.27,-73.16
25.27,-72.89
25.27,-72.62
25.27,-72.35
25.27,-72.08
25.27,-71.81
25.27,-71.54
25.27,-71.27
25.27,-71.0
25.27,-70.73
25.27,-70.46
25.27,-70.19
25.27,-69.92
25.27,-69.65
25.27,-69.38
25.27,-69.11
25.27,-68.84
25.27,-68.57
25.27,-68.3
25.27,-68.03
25.27,-67.76
25.27,-67.49
25.27,-67.22
25.27,-66.95
25.27,-66.68
25.27,-66.41
25.27,-66.14
25.54,-125.0
25.54,-124.73
25.54,-124.46
25.54,-124.19
25.54,-123.92
25.54,-123.65
25.54,-123.38
25.54,-123.11
25.54,-122.84
25.54,-122.57
25.54,-122.3
25.54,-122.03
25.54,-121.76
25.54,-121.49
25.54,-121.22
25.54,-120.95
25.54,-120.68
25.54,-120.41
25.54,-120.14
25.54,-119.87
25.54,-119.6
25.54,-119.33
25.54,-119.06
25.54,-118.79
25.54,-118.52
25.54,-118.25
25.54,-117.98
25.54,-117.71
25.54,-117.44
25.54,-117.17
25.54,-116.9
25.54,-116.63
25.54,-116.36
25.54,-116.09
25.54,-115.82
25.54,-115.55
25.54,-115.28
25.54,-115.01
25.54,-114.74
25.54,-114.47
25.54,-114.2
25.54,-113.93
25.54,-113.66
25.54,-113.39
25.54,-113.12
25.54,-112.85
25.54,-112.58
25.54,-112.31
25.54,-112.04
25.54,-111.77
25.54,-111.5
25.54,-111.23
25.54,-110.96
25.54,-110.69
25.54,-110.42
25.54,-110.15
25.54,-109.88
25.54,-109.61
25.54,-109.34
25.54,-109.07
25.54,-108.8
25.54,-108.53
25.54,-108.26
25.54,-107.99
25.54,-107.72
25.54,-107.45
25.54,-107.18
25.54,-106.91
25.54,-106.64
25.54,-106.37
25.54,-106.1
25.54,-105.83
25.54,-105.56
25.54,-105.29
25.54,-105.02
25.54,-104.75
25.54,-104.48
25.54,-104.21
25.54,-103.94
25.54,-103.67
25.54,-103.4
25.54,-103.13
25.54,-102.86
25.54,-102.59
25.54,-102.32
25.54,-102.05
25.54,-101.78
25.54,-101.51
25.54,-101.24
25.54,-100.97
25.54,-100.7
25.54,-100.43
25.54,-100.16
25.54,-99.89
25.54,-99.62
25.54,-99.35
25.54,-99.08
25.54,-98.81
25.54,-98.54
25.54,-98.27
25.54,-98.0
25.54,-97.73
25.54,-97.46
25.54,-97.19
25.54,-96.92
25.54,-96.65
25.54,-96.38
25.54,-96.11
25.54,-95.84
25.54,-95.57
25.54,-95.3
25.54,-95.03
25.54,-94.76
25.54,-94.49
25.54,-94.22
25.54,-93.95
25.54,-93.68
25.54,-93.41
25.54,-93.14
25.54,-92.87
25.54,-92.6
25.54,-92.33
25.54,-92.06
25.54,-91.79
25.54,-91.52
25.54,-91.25
25.54,-90.98
25.54,-90.71
25.54,-90.44
25.54,-90.17
25.54,-89.9
25.54,-89.63
25.54,-89.36
25.54,-89.09
25.54,-88.82
25.54,-88.55
25.54,-88.28
25.54,-88.01
25.54,-87.74
25.54,-87.47
25.54,-87.2
25.54,-86.93
25.54,-86.66
25.54,-86.39
25.54,-86.12
25.54,-85.85
25.54,-85.58
25.54,-85.31
25.54,-85.04
25.54,-84.77
25.54,-84.5
25.54,-84.23
25.54,-83.96
25.54,-83.69
25.54,-83.42
25.54,-83.15
25.54,-82.88
25.54,-82.61
25.54,-82.34
25.54,-82.07
25.54,-81.8
25.54,-81.53
25.54,-81.26
25.54,-80.99
25.54,-80.72
25.54,-80.45
25.54,-80.18
25.54,-79.91
25.54,-79.64
25.54,-79.37
25.54,-79.1
25.54,-78.83
25.54,-78.56
25.54,-78.29
25.54,-78.02
25.54,-77.75
25.54,-77.48
25.54,-77.21
25.54,-76.94
25.54,-76.67
25.54,-76.4
25.54,-76.13
25.54,-75.86
25.54,-75.59
25.54,-75.32
25.54,-75.05
25.54,-74.78
25.54,-74.51
25.54,-74.24
25.54,-73.97
25.54,-73.7
25.54,-73.43
25.54,-73.16
25.54,-72.89
25.54,-72.62
25.54,-72.35
25.54,-72.08
25.54,-71.81
25.54,-71.54
25.54,-71.27
25.54,-71.0
25.54,-70.73
25.54,-70.46
25.54,-70.19
25.54,-69.92
25.54,-69.65
25.54,-69.38
25.54,-69.11
25.54,-68.84
25.54,-68.57
25.54,-68.3
25.54,-68.03
25.54,-67.76
25.54,-67.49
25.54,-67.22
25.54,-66.95
25.54,-66.68
25.54,-66.41
25.54,-66.14
25.81,-125.0
25.81,-124.73
25.81,-124.46
25.81,-124.19
25.81,-123.92
25.81,-123.65
25.81,-123.38
25.81,-123.11
25.81,-122.84
25.81,-122.57
25.81,-122.3
25.81,-122.03
25.81,-121.76
25.81,-121.49
25.81,-121.22
25.81,-120.95
25.81,-120.68
25.81,-120.41
25.81,-120.14
25.81,-119.87
25.81,-119.6
25.81,-119.33
25.81,-119.06
25.81,-118.79
25.81,-118.52
25.81,-118.25
25.81,-117.98
25.81,-117.71
25.81,-117.44
25.81,-117.17
25.81,-116.9
25.81,-116.63
25.81,-116.36
25.81,-116.09
25.81,-115.82
25.81,-115.55
25.81,-115.28
25.81,-115.01
25.81,-114.74
25.81,-114.47
25.81,-114.2
25.81,-113.93
25.81,-113.66
25.81,-113.39
25.81,-113.12
25.81,-112.85
25.81,-112.58
25.81,-112.31
25.81,-112.04
25.81,-111.77
25.81,-111.5
25.81,-111.23
25.81,-110.96
25.81,-110.69
25.81,-110.42
25.81,-110.15
25.81,-109.88
25.81,-109.61
25.81,-109.34
25.81,-109.07
25.81,-108.8
25.81,-108.53
25.81,-108.26
25.81,-107.99
25.81,-107.72
25.81,-107.45
25.81,-107.18
25.81,-106.91
25.81,-106.64
25.81,-106.37
25.81,-106.1
25.81,-105.83
25.81,-105.56
25.81,-105.29
25.81,-105.02
25.81,-104.75
25.81,-104.48
25.81,-104.21
25.81,-103.94
25.81,-103.67
25.81,-103.4
25.81,-103.13
25.81,-102.86
25.81,-102.59
25.81,-102.32
25.81,-102.05
25.81,-101.78
25.81,-101.51
25.81,-101.24
25.81,-100.97
25.81,-100.7
25.81,-100.43
25.81,-100.16
25.81,-99.89
25.81,-99.62
25.81,-99.35
25.81,-99.08
25.81,-98.81
25.81,-98.54
25.81,-98.27
25.81,-98.0
25.81,-97.73
25.81,-97.46
25.81,-97.19
25.81,-96.92
25.81,-96.65
25.81,-96.38
25.81,-96.11
25.81,-95.84
25.81,-95.57
25.81,-95.3
25.81,-95.03
25.81,-94.76
25.81,-94.49
25.81,-94.22
25.81,-93.95
25.81,-93.68
25.81,-93.41
25.81,-93.14
25.81,-92.87
25.81,-92.6
25.81,-92.33
25.81,-92.06
25.81,-91.79
25.81,-91.52
25.81,-91.25
25.81,-90.98
25.81,-90.71
25.81,-90.44
25.81,-90.17
25.81,-89.9
25.81,-89.63
25.81,-89.36
25.81,-89.09
25.81,-88.82
25.81,-88.55
25.81,-88.28
25.81,-88.01
25.81,-87.74
25.81,-87.47
25.81,-87.2
25.81,-86.93
25.81,-86.66
25.81,-86.39
25.81,-86.12
25.81,-85.85
25.81,-85.58
25.81,-85.31
25.81,-85.04
25.81,-84.77
25.81,-84.5
25.81,-84.23
25.81,-83.96
25.81,-83.69
25.81,-83.42
25.81,-83.15
25.81,-82.88
25.81,-82.61
25.81,-82.34
25.81,-82.07
25.81,-81.8
25.81,-81.53
25.81,-81.26
25.81,-80.99
25.81,-80.72
25.81,-80.45
25.81,-80.18
25.81,-79.91
25.81,-79.64
25.81,-79.37
25.81,-79.1
25.81,-78.83
25.81,-78.56
25.81,-78.29
25.81,-78.02
25.81,-77.75
25.81,-77.48
25.81,-77.21
25.81,-76.94
25.81,-76.67
25.81,-76.4
25.81,-76.13
25.81,-75.86
25.81,-75.59
25.81,-75.32
25.81,-75.05
25.81,-74.78
25.81,-74.51
25.81,-74.24
25.81,-73.97
25.81,-73.7
25.81,-73.43
25.81,-73.16
25.81,-72.89
25.81,-72.62
25.81,-72.35
25.81,-72.08
25.81,-71.81
25.81,-71.54
25.81,-71.27
25.81,-71.0
25.81,-70.73
25.81,-70.46
25.81,-70.19
25.81,-69.92
25.81,-69.65
25.81,-69.38
25.81,-69.11
25.81,-68.84
25.81,-68.57
25.81,-68.3
25.81,-68.03
25.81,-67.76
25.81,-67.49
25.81,-67.22
25.81,-66.95
25.81,-66.68
25.81,-66.41
25.81,-66.14
26.08,-125.0
26.08,-124.73
26.08,-124.46
26.08,-124.19
26.08,-123.92
26.08,-123.65
26.08,-123.38
26.08,-123.11
26.08,-122.84
26.08,-122.57
26.08,-122.3
26.08,-122.03
26.08,-121.76
26.08,-121.49
26.08,-121.22
26.08,-120.95
26.08,-120.68
26.08,-120.41
26.08,-120.14
26.08,-119.87
26.08,-119.6
26.08,-119.33
26.08,-119.06
26.08,-118.79
26.08,-118.52
26.08,-118.25
26.08,-117.98
26.08,-117.71
26.08,-117.44
26.08,-117.17
26.08,-116.9
26.08,-116.63
26.08,-116.36
26.08,-116.09
26.08,-115.82
26.08,-115.55
26.08,-115.28
26.08,-115.01
26.08,-114.74
26.08,-114.47
26.08,-114.2
